Date,Open,High,Low,Close,Adj Close,Volume
7/16/2021,8.4,8.52,8.11,8.2,8.2,17391800
7/19/2021,7.87,8.38,7.67,8.3,8.3,20086800
7/20/2021,8.2,8.5,7.92,8.35,8.35,24279400
7/21/2021,8.403,9.09,8.32,8.88,8.88,30192500
7/22/2021,9.45,9.45,8.4,8.62,8.62,44877800
7/23/2021,8.35,8.44,7.97,8.05,8.05,28133900
7/26/2021,8.043,8.52,7.922,8.2,8.2,19174100
7/27/2021,8.056,8.25,7.84,8.05,8.05,14958400
7/28/2021,8.07,8.43,7.97,8.32,8.32,16262700
7/29/2021,8.29,8.46,8.14,8.22,8.22,9345900
7/30/2021,8.11,8.32,8.03,8.07,8.07,7430800
8/2/2021,8.133,8.5,7.98,8.15,8.15,19707900
8/3/2021,8.3,8.59,8.03,8.12,8.12,17597200
8/4/2021,8.15,8.16,7.88,7.92,7.92,12343500
8/5/2021,7.939,8.2,7.85,8.13,8.13,10743200
8/6/2021,8.05,8.15,7.98,8.07,8.07,7376900
8/9/2021,8.15,8.84,8.082,8.81,8.81,25819600
8/10/2021,9.11,9.23,8.15,8.41,8.41,30018600
8/11/2021,8.41,8.429,8.015,8.13,8.13,30856000
8/12/2021,9.52,9.65,8.58,9.01,9.01,146920100
8/13/2021,8.74,8.9,8.31,8.4101,8.4101,25499242
